ダウンロードした時刻：2019/10/25 23:21:06

,福岡,福岡,福岡,東京,東京,東京
2018/12/12,1023.5,8,1,1014.1,8,1
2018/12/13,1027.1,8,1,1019.8,8,1
2018/12/14,1029.9,8,1,1020.9,8,1
2018/12/15,1029.8,8,1,1026.0,8,1
2018/12/16,1020.5,8,1,1023.0,8,1
2018/12/17,1017.0,8,1,1007.2,8,1
2018/12/18,1021.4,8,1,1011.3,8,1
2018/12/19,1022.7,8,1,1015.3,8,1
2018/12/20,1022.2,8,1,1019.2,8,1
2018/12/21,1020.6,8,1,1024.2,8,1
2018/12/22,1020.0,8,1,1019.2,8,1
2018/12/23,1019.5,8,1,1014.7,8,1
2018/12/24,1023.5,8,1,1016.2,8,1
2018/12/25,1022.7,8,1,1021.5,8,1
2018/12/26,1019.6,8,1,1014.4,8,1
2018/12/27,1021.1,8,1,1006.9,8,1
2018/12/28,1025.7,8,1,1011.3,8,1
2018/12/29,1029.6,8,1,1015.8,8,1
2018/12/30,1032.3,8,1,1022.8,8,1
2018/12/31,1032.3,8,1,1028.1,8,1
2019/1/1,1030.0,8,1,1022.7,8,1
2019/1/2,1030.7,8,1,1020.7,8,1
2019/1/3,1031.6,8,1,1023.2,8,1
2019/1/4,1029.3,8,1,1026.0,8,1
2019/1/5,1022.6,8,1,1013.6,8,1
2019/1/6,1023.7,8,1,1018.2,8,1
2019/1/7,1025.0,8,1,1019.4,8,1
2019/1/8,1023.7,8,1,1015.3,8,1
2019/1/9,1028.5,8,1,1019.6,8,1
2019/1/10,1023.8,8,1,1017.9,8,1
2019/1/11,1022.7,8,1,1017.6,8,1
2019/1/12,1019.1,8,1,1019.7,8,1
2019/1/13,1020.7,8,1,1019.1,8,1
2019/1/14,1023.2,8,1,1023.0,8,1
2019/1/15,1021.1,8,1,1019.3,8,1
2019/1/16,1022.4,8,1,1012.1,8,1
2019/1/17,1021.9,8,1,1010.5,8,1
2019/1/18,1026.0,8,1,1016.6,8,1
2019/1/19,1022.9,8,1,1020.0,8,1
2019/1/20,1017.2,8,1,1007.7,8,1
2019/1/21,1020.8,8,1,1009.7,8,1
2019/1/22,1019.5,8,1,1012.0,8,1
2019/1/23,1019.3,8,1,1012.0,8,1
2019/1/24,1021.2,8,1,1013.0,8,1
2019/1/25,1020.1,8,1,1014.7,8,1
2019/1/26,1021.9,8,1,1006.8,8,1
2019/1/27,1026.4,8,1,1017.1,8,1
2019/1/28,1021.1,8,1,1012.6,8,1
2019/1/29,1025.1,8,1,1017.5,8,1
2019/1/30,1024.0,8,1,1023.2,8,1
2019/1/31,1014.7,8,1,1008.5,8,1
2019/2/1,1022.0,8,1,1011.0,8,1
2019/2/2,1023.8,8,1,1017.9,8,1
2019/2/3,1015.2,8,1,1017.7,8,1
2019/2/4,1021.8,8,1,1009.0,8,1
2019/2/5,1020.9,8,1,1023.2,8,1
2019/2/6,1016.0,8,1,1015.9,8,1
2019/2/7,1016.6,8,1,1009.6,8,1
2019/2/8,1020.0,8,1,1014.9,8,1
2019/2/9,1021.6,8,1,1017.7,8,1
2019/2/10,1025.3,8,1,1023.4,8,1
2019/2/11,1027.0,8,1,1024.3,8,1
2019/2/12,1030.7,8,1,1023.2,8,1
2019/2/13,1028.1,8,1,1022.7,8,1
2019/2/14,1027.8,8,1,1025.3,8,1
2019/2/15,1022.6,8,1,1023.2,8,1
2019/2/16,1019.7,8,1,1010.0,8,1
2019/2/17,1022.9,8,1,1015.6,8,1
2019/2/18,1024.5,8,1,1023.6,8,1
2019/2/19,1015.9,8,1,1021.3,8,1
2019/2/20,1022.2,8,1,1010.8,8,1
2019/2/21,1023.6,8,1,1017.3,8,1
2019/2/22,1018.2,8,1,1018.3,8,1
2019/2/23,1020.3,8,1,1014.4,8,1
2019/2/24,1021.9,8,1,1022.4,8,1
2019/2/25,1019.1,8,1,1015.1,8,1
2019/2/26,1021.1,8,1,1017.7,8,1
2019/2/27,1019.7,8,1,1024.1,8,1
2019/2/28,1016.1,8,1,1014.6,8,1
2019/3/1,1019.7,8,1,1014.9,8,1
2019/3/2,1018.2,8,1,1018.5,8,1
2019/3/3,1010.7,8,1,1016.3,8,1
2019/3/4,1011.5,8,1,1005.7,8,1
2019/3/5,1020.5,8,1,1018.1,8,1
2019/3/6,1013.9,8,1,1016.7,8,1
2019/3/7,1016.0,8,1,1004.3,8,1
2019/3/8,1024.8,8,1,1019.2,8,1
2019/3/9,1022.5,8,1,1024.0,8,1
2019/3/10,1008.2,8,1,1017.1,8,1
2019/3/11,1009.5,8,1,997.0,8,1
2019/3/12,1011.8,8,1,1004.5,8,1
2019/3/13,1020.3,8,1,1005.7,8,1
2019/3/14,1024.1,8,1,1017.2,8,1
2019/3/15,1020.0,8,1,1019.2,8,1
2019/3/16,1020.3,8,1,1012.8,8,1
2019/3/17,1022.4,8,1,1016.8,8,1
2019/3/18,1021.1,8,1,1021.9,8,1
2019/3/19,1016.3,8,1,1015.9,8,1
2019/3/20,1014.6,8,1,1017.6,8,1
2019/3/21,1007.2,8,1,1007.2,8,1
2019/3/22,1014.3,8,1,1003.0,8,1
2019/3/23,1018.5,8,1,1012.0,8,1
2019/3/24,1021.5,8,1,1015.0,8,1
2019/3/25,1019.1,8,1,1017.2,8,1
2019/3/26,1018.3,8,1,1010.9,8,1
2019/3/27,1017.4,8,1,1011.0,8,1
2019/3/28,1012.8,8,1,1007.3,8,1
2019/3/29,1013.2,8,1,1016.8,8,1
2019/3/30,1012.4,8,1,1013.2,8,1
2019/3/31,1018.6,8,1,1006.1,8,1
2019/4/1,1022.0,8,1,1011.9,8,1
2019/4/2,1021.7,8,1,1014.5,8,1
2019/4/3,1022.6,8,1,1017.3,8,1
2019/4/4,1019.4,8,1,1013.8,8,1
2019/4/5,1012.5,8,1,1004.3,8,1
2019/4/6,1012.3,8,1,1006.9,8,1
2019/4/7,1010.4,8,1,1006.7,8,1
2019/4/8,1013.9,8,1,1008.1,8,1
2019/4/9,1014.7,8,1,1016.2,8,1
2019/4/10,1005.6,8,1,1011.8,8,1
2019/4/11,1013.8,8,1,1006.8,8,1
2019/4/12,1017.6,8,1,1016.6,8,1
2019/4/13,1020.6,8,1,1022.0,8,1
2019/4/14,1016.1,8,1,1017.9,8,1
2019/4/15,1018.0,8,1,1008.6,8,1
2019/4/16,1018.0,8,1,1018.1,8,1
2019/4/17,1012.6,8,1,1016.4,8,1
2019/4/18,1013.4,8,1,1012.0,8,1
2019/4/19,1015.9,8,1,1010.3,8,1
2019/4/20,1014.8,8,1,1015.4,8,1
2019/4/21,1012.9,8,1,1012.8,8,1
2019/4/22,1014.9,8,1,1014.1,8,1
2019/4/23,1013.4,8,1,1020.9,8,1
2019/4/24,1007.5,8,1,1016.3,8,1
2019/4/25,1007.2,8,1,1003.9,8,1
2019/4/26,1009.9,8,1,1005.4,8,1
2019/4/27,1019.6,8,1,1009.1,8,1
2019/4/28,1020.3,8,1,1021.5,8,1
2019/4/29,1012.3,8,1,1022.2,8,1
2019/4/30,1006.8,8,1,1013.6,8,1
2019/5/1,1005.9,8,1,1001.3,8,1
2019/5/2,1011.7,8,1,1005.8,8,1
2019/5/3,1016.2,8,1,1014.0,8,1
2019/5/4,1018.2,8,1,1018.2,8,1
2019/5/5,1017.1,8,1,1020.0,8,1
2019/5/6,1014.4,8,1,1013.1,8,1
2019/5/7,1015.9,8,1,1010.5,8,1
2019/5/8,1014.0,8,1,1012.5,8,1
2019/5/9,1010.9,8,1,1008.7,8,1
2019/5/10,1012.4,8,1,1011.8,8,1
2019/5/11,1013.3,8,1,1013.0,8,1
2019/5/12,1014.9,8,1,1016.6,8,1
2019/5/13,1015.3,8,1,1019.1,8,1
2019/5/14,1012.7,8,1,1018.0,8,1
2019/5/15,1012.1,8,1,1016.9,8,1
2019/5/16,1012.3,8,1,1016.3,8,1
2019/5/17,1012.6,8,1,1020.0,8,1
2019/5/18,1010.0,8,1,1023.2,8,1
2019/5/19,1009.6,8,1,1022.5,8,1
2019/5/20,1005.8,8,1,1016.2,8,1
2019/5/21,1008.0,8,1,1002.9,8,1
2019/5/22,1009.0,8,1,1006.1,8,1
2019/5/23,1011.0,8,1,1009.1,8,1
2019/5/24,1013.7,8,1,1010.7,8,1
2019/5/25,1016.3,8,1,1015.8,8,1
2019/5/26,1016.8,8,1,1016.7,8,1
2019/5/27,1011.2,8,1,1013.0,8,1
2019/5/28,1009.1,8,1,1006.4,8,1
2019/5/29,1011.2,8,1,1004.3,8,1
2019/5/30,1011.9,8,1,1012.8,8,1
2019/5/31,1011.3,8,1,1011.0,8,1
2019/6/1,1010.2,8,1,1009.3,8,1
2019/6/2,1007.4,8,1,1011.1,8,1
2019/6/3,1008.6,8,1,1010.5,8,1
2019/6/4,1008.9,8,1,1012.1,8,1
2019/6/5,1011.5,8,1,1010.5,8,1
2019/6/6,1011.3,8,1,1010.8,8,1
2019/6/7,1002.4,8,1,1007.6,8,1
2019/6/8,1007.8,8,1,1000.8,8,1
2019/6/9,1004.6,8,1,1008.7,8,1
2019/6/10,1005.2,8,1,1005.5,8,1
2019/6/11,1007.7,8,1,1006.5,8,1
2019/6/12,1009.9,8,1,1008.8,8,1
2019/6/13,1009.8,8,1,1012.5,8,1
2019/6/14,1003.6,8,1,1013.3,8,1
2019/6/15,997.6,8,1,1001.3,8,1
2019/6/16,1007.1,8,1,991.4,8,1
2019/6/17,1012.9,8,1,1008.1,8,1
2019/6/18,1012.0,8,1,1011.6,8,1
2019/6/19,1006.4,8,1,1006.7,8,1
2019/6/20,1007.0,8,1,1005.9,8,1
2019/6/21,1005.6,8,1,1008.8,8,1
2019/6/22,1005.6,8,1,1004.8,8,1
2019/6/23,1007.3,8,1,1005.6,8,1
2019/6/24,1012.5,8,1,1010.7,8,1
2019/6/25,1014.3,8,1,1017.0,8,1
2019/6/26,1009.9,8,1,1014.7,8,1
2019/6/27,1002.0,8,1,1007.2,8,1
2019/6/28,1003.1,8,1,1000.6,8,1
2019/6/29,1000.6,8,1,1004.1,8,1
2019/6/30,1001.7,8,1,999.7,8,1
2019/7/1,1006.4,8,1,1004.1,8,1
2019/7/2,1009.6,8,1,1007.9,8,1
2019/7/3,1008.0,8,1,1010.6,8,1
2019/7/4,1006.1,8,1,1005.2,8,1
2019/7/5,1002.5,8,1,1006.9,8,1
2019/7/6,1002.2,8,1,1005.7,8,1
2019/7/7,1006.2,8,1,1006.5,8,1
2019/7/8,1005.0,8,1,1009.4,8,1
2019/7/9,1004.3,8,1,1010.2,8,1
2019/7/10,1003.6,8,1,1012.8,8,1
2019/7/11,1005.2,8,1,1014.3,8,1
2019/7/12,1007.4,8,1,1006.8,8,1
2019/7/13,1002.4,8,1,1004.1,8,1
2019/7/14,1001.8,8,1,1002.3,8,1
2019/7/15,1007.1,8,1,1007.9,8,1
2019/7/16,1010.3,8,1,1013.1,8,1
2019/7/17,1011.3,8,1,1013.8,8,1
2019/7/18,1009.9,8,1,1013.6,8,1
2019/7/19,1008.3,8,1,1011.1,8,1
2019/7/20,1005.1,8,1,1014.4,8,1
2019/7/21,1008.1,8,1,1014.5,8,1
2019/7/22,1008.4,8,1,1011.0,8,1
2019/7/23,1007.5,8,1,1006.5,8,1
2019/7/24,1007.5,8,1,1007.3,8,1
2019/7/25,1008.3,8,1,1009.9,8,1
2019/7/26,1007.2,8,1,1011.8,8,1
2019/7/27,1008.8,8,1,1010.2,8,1
2019/7/28,1012.0,8,1,1011.7,8,1
2019/7/29,1012.4,8,1,1012.1,8,1
2019/7/30,1011.3,8,1,1010.7,8,1
2019/7/31,1012.1,8,1,1011.2,8,1
2019/8/1,1012.5,8,1,1011.3,8,1
2019/8/2,1011.1,8,1,1011.1,8,1
2019/8/3,1010.0,8,1,1011.5,8,1
2019/8/4,1009.7,8,1,1012.2,8,1
2019/8/5,1007.9,8,1,1012.2,8,1
2019/8/6,1002.7,8,1,1011.1,8,1
2019/8/7,1007.7,8,1,1010.1,8,1
2019/8/8,1008.2,8,1,1009.3,8,1
2019/8/9,1007.2,8,1,1008.2,8,1
2019/8/10,1005.5,8,1,1008.1,8,1
2019/8/11,1003.6,8,1,1008.6,8,1
2019/8/12,1002.5,8,1,1008.5,8,1
2019/8/13,1000.7,8,1,1006.5,8,1
2019/8/14,994.2,8,1,1006.1,8,1
2019/8/15,986.3,8,1,1002.8,8,1
2019/8/16,998.3,8,1,998.1,8,1
2019/8/17,1004.2,8,1,1001.7,8,1
2019/8/18,1007.0,8,1,1007.1,8,1
2019/8/19,1008.4,8,1,1011.2,8,1
2019/8/20,1009.1,8,1,1010.3,8,1
2019/8/21,1009.8,8,1,1009.5,8,1
2019/8/22,1008.9,8,1,1009.4,8,1
2019/8/23,1009.4,8,1,1005.4,8,1
2019/8/24,1011.5,8,1,1007.4,8,1
2019/8/25,1013.8,8,1,1009.6,8,1
2019/8/26,1013.8,8,1,1013.1,8,1
2019/8/27,1010.0,8,1,1013.9,8,1
2019/8/28,1008.4,8,1,1007.1,8,1
2019/8/29,1008.1,8,1,1006.4,8,1
2019/8/30,1009.9,8,1,1008.0,8,1
2019/8/31,1014.3,8,1,1011.4,8,1
2019/9/1,1017.4,8,1,1016.8,8,1
2019/9/2,1016.4,8,1,1016.7,8,1
2019/9/3,1014.8,8,1,1016.8,8,1
2019/9/4,1013.6,8,1,1018.8,8,1
2019/9/5,1012.1,8,1,1018.4,8,1
2019/9/6,1008.1,8,1,1016.5,8,1
2019/9/7,1006.7,8,1,1015.3,8,1
2019/9/8,1008.3,8,1,1011.6,8,1
2019/9/9,1010.0,8,1,1003.1,8,1
2019/9/10,1013.8,8,1,1012.8,8,1
2019/9/11,1014.3,8,1,1011.7,8,1
2019/9/12,1012.8,8,1,1013.0,8,1
2019/9/13,1010.5,8,1,1016.7,8,1
2019/9/14,1009.8,8,1,1014.9,8,1
2019/9/15,1008.1,8,1,1009.7,8,1
2019/9/16,1007.7,8,1,1003.1,8,1
2019/9/17,1010.4,8,1,1009.3,8,1
2019/9/18,1012.7,8,1,1011.5,8,1
2019/9/19,1014.7,8,1,1013.5,8,1
2019/9/20,1015.1,8,1,1017.3,8,1
2019/9/21,1013.5,8,1,1021.2,8,1
2019/9/22,998.8,8,1,1018.5,8,1
2019/9/23,1012.1,8,1,1007.9,8,1
2019/9/24,1017.0,8,1,1011.0,8,1
2019/9/25,1019.8,8,1,1019.2,8,1
2019/9/26,1021.8,8,1,1026.0,8,1
2019/9/27,1020.6,8,1,1026.3,8,1
2019/9/28,1017.7,8,1,1022.2,8,1
2019/9/29,1015.9,8,1,1015.9,8,1
2019/9/30,1016.8,8,1,1016.3,8,1
2019/10/1,1017.6,8,1,1020.1,8,1
